#      O         NLL         <E>      <|M|>
10.333113   11.013989   0.004614   0.194082   
10.195450   10.976247   0.003151   0.192899   
9.858825   10.643871   -0.008363   0.193496   
9.499293   10.296196   -0.023431   0.216653   
9.201722   9.939163   0.010563   0.202166   
8.903007   9.677942   -0.022474   0.226779   
8.583379   9.300895   -0.044875   0.226100   
8.243559   8.985369   0.021316   0.218901   
7.890171   8.554460   -0.061311   0.233021   
7.525598   8.239766   -0.058911   0.239807   
7.152142   7.872667   -0.093083   0.239193   
6.774540   7.479601   -0.082507   0.260871   
6.406375   7.117192   -0.078062   0.253403   
6.047989   6.728049   -0.173607   0.287031   
5.701630   6.378695   -0.237662   0.319231   
5.378914   6.113464   -0.348500   0.373281   
5.079147   5.734220   -0.434280   0.412718   
4.807218   5.506057   -0.476760   0.434025   
4.555511   5.252358   -0.593207   0.465160   
4.330322   4.984347   -0.731567   0.525967   
4.129150   4.826085   -0.776071   0.560408   
3.940552   4.664802   -0.810221   0.570845   
3.761763   4.464974   -0.888072   0.602309   
3.599997   4.309954   -0.917076   0.608514   
3.477286   4.159866   -1.013056   0.657519   
3.312016   3.998464   -1.071404   0.684577   
3.277030   3.988737   -1.019607   0.665841   
3.074494   3.784567   -1.126136   0.704051   
2.987355   3.678822   -1.097032   0.685849   
2.877262   3.599022   -1.140434   0.720755   
2.833896   3.523783   -1.207611   0.734732   
2.706134   3.403511   -1.195141   0.728529   
2.580191   3.270335   -1.188893   0.726503   
2.742490   3.442544   -1.208592   0.733969   
2.386954   3.089663   -1.265493   0.759502   
2.356987   3.057549   -1.193939   0.740155   
2.320678   3.044739   -1.294604   0.775562   
2.655202   3.338438   -1.382536   0.794458   
2.239589   2.926695   -1.340719   0.789299   
2.057298   2.754683   -1.346221   0.790225   
1.955498   2.655827   -1.355703   0.796360   
2.920545   3.604676   -1.397082   0.807378   
1.840718   2.553185   -1.365283   0.800097   
3.813480   4.608479   -1.428384   0.834846   
4.435360   5.216399   -1.403850   0.832832   
1.889357   2.623914   -1.404976   0.817665   
2.957838   3.665699   -1.475172   0.833600   
2.888917   3.577264   -1.473136   0.829499   
1.718816   2.426158   -1.438124   0.835053   
2.838426   3.566367   -1.476485   0.845966   
3.448716   4.224585   -1.582859   0.880320   
2.794304   3.544554   -1.538617   0.869788   
2.243881   2.986790   -1.469794   0.850609   
1.749305   2.473332   -1.509993   0.860690   
1.439772   2.172075   -1.579675   0.881248   
1.327243   2.045767   -1.517480   0.857773   
1.472861   2.175449   -1.549029   0.866782   
1.755030   2.466264   -1.561409   0.868608   
2.167851   2.880970   -1.508245   0.849202   
1.176854   1.875889   -1.602119   0.882022   
1.782626   2.523568   -1.608870   0.888915   
2.777022   3.540419   -1.614719   0.891313   
3.727935   4.511935   -1.664259   0.907618   
4.557002   5.362833   -1.694238   0.917726   
5.395770   6.172303   -1.714743   0.923486   
6.094329   6.892194   -1.714444   0.923085   
6.802300   7.624914   -1.722573   0.924478   
7.425067   8.320317   -1.742059   0.931601   
8.138630   9.009630   -1.754056   0.933654   
8.736755   9.533075   -1.764014   0.937384   
8.164892   9.084294   -1.753078   0.934332   
5.471842   6.289268   -1.758442   0.934133   
3.379049   4.161618   -1.708139   0.920157   
1.706236   2.453525   -1.698310   0.916295   
0.915960   1.629851   -1.660131   0.903853   
1.687856   2.385829   -1.675111   0.907788   
2.824796   3.503671   -1.644598   0.899014   
3.825582   4.459902   -1.682064   0.911360   
4.605755   5.255102   -1.625810   0.890096   
5.274632   5.914493   -1.661225   0.900597   
5.867658   6.494587   -1.648608   0.894418   
6.035550   6.700243   -1.657949   0.898473   
2.595394   3.250040   -1.683575   0.911988   
1.097007   1.834632   -1.774907   0.939481   
3.964081   4.753710   -1.799338   0.946426   
6.852059   7.717334   -1.798382   0.947894   
9.547165   10.367959   -1.868282   0.965826   
12.285278   13.218511   -1.883165   0.969585   
15.070615   16.028475   -1.913296   0.977305   
17.825366   18.846504   -1.943925   0.985191   
20.400615   21.461048   -1.947249   0.985979   
22.535401   23.621544   -1.947084   0.985676   
21.290492   22.365889   -1.939501   0.983573   
16.197193   17.227161   -1.933214   0.982023   
11.796077   12.707695   -1.856256   0.962822   
